gene_name	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32
gene50	1.62	5.26	8.7	1.34	4.26	1.56	5.12	7.05	9.5	2.48	9.32	5.1	4.09	7.5	4.19	4.3	7.74	8.43	9.95	6.82	0.52	7.59	1.0	3.42	8.0	3.69	4.8	9.66	5.35	2.11	4.56	9.6
gene51	5.81	3.5	9.4	8.97	4.69	6.83	7.1	3.76	6.54	3.75	5.17	1.8	8.22	9.58	1.16	2.09	3.29	7.71	3.79	9.27	0.88	3.3	1.47	5.14	9.44	9.26	4.21	6.08	6.63	0.76	9.65	9.6
gene52	0.93	7.77	9.13	5.98	8.59	8.07	5.36	6.36	1.3	9.35	1.51	1.5	8.41	6.74	1.94	4.54	4.86	8.34	3.89	6.91	1.89	7.52	9.07	3.79	5.32	3.22	9.46	3.18	4.02	3.75	9.3	9.83
gene53	2.85	4.66	3.38	6.78	4.33	2.13	0.67	6.41	2.51	4.28	5.02	5.14	2.02	4.95	1.57	8.99	7.2	9.88	6.24	1.41	8.65	8.01	3.52	6.61	2.4	2.35	8.96	8.79	0.77	2.09	1.5	9.58
gene54	8.88	5.89	4.26	2.95	8.9	1.39	5.22	8.31	2.44	3.42	7.54	5.45	9.92	7.07	2.77	3.86	9.97	1.49	9.95	6.46	5.84	5.72	9.51	7.24	0.62	5.1	5.77	5.12	8.06	4.11	0.45	7.13
gene55	7.47	1.47	2.01	7.15	0.8	3.58	6.03	1.31	0.15	5.96	4.58	1.68	6.3	2.15	3.59	7.79	1.29	9.17	3.38	8.86	5.45	4.78	3.43	2.06	7.75	0.62	8.08	4.79	8.3	4.42	7.86	4.51
gene56	5.16	8.74	9.25	7.88	8.03	6.93	0.39	6.51	4.78	5.96	1.62	9.2	6.49	0.7	8.16	6.19	4.3	0.02	9.93	3.49	1.43	5.27	7.09	3.24	4.12	4.08	9.8	1.45	7.69	0.91	7.02	3.98
gene57	0.71	3.72	0.86	4.25	5.35	9.95	2.24	5.89	6.48	0.87	3.96	4.7	9.25	9.83	5.02	8.34	8.84	6.45	9.88	4.17	6.7	6.17	1.66	8.95	5.52	4.59	3.31	4.14	5.36	4.52	0.07	8.95
gene58	4.46	5.9	5.76	2.77	1.5	1.75	3.82	3.08	8.19	1.72	9.76	0.5	0.43	2.86	7.73	8.46	1.58	4.46	4.87	6.32	8.45	5.06	1.76	5.23	3.74	3.75	6.42	0.84	7.13	7.38	2.65	0.37
gene59	2.45	3.64	7.34	8.62	5.26	3.44	2.15	7.17	5.12	4.95	9.56	8.76	1.43	9.69	5.08	9.31	7.21	5.95	4.62	4.84	8.71	4.11	7.26	8.61	7.2	0.23	7.36	0.5	1.01	0.97	4.64	6.05
gene60	2.94	3.78	5.07	4.55	9.35	0.07	7.73	2.12	9.96	0.05	9.62	3.29	3.45	5.05	7.51	3.17	4.77	6.95	6.82	2.22	1.75	0.72	6.98	9.35	3.47	5.7	8.06	5.05	4.79	8.43	9.47	5.16
gene61	7.11	7.26	9.48	6.05	9.13	7.14	6.72	7.89	0.96	3.46	5.03	5.65	8.14	6.65	2.48	7.96	7.97	9.44	0.73	0.97	5.94	6.37	5.65	8.31	8.91	4.9	7.16	6.04	4.32	6.75	5.31	6.12
gene62	0.71	7.0	2.17	2.68	5.45	4.71	4.58	7.7	8.6	9.93	7.43	7.3	3.5	3.52	5.2	3.84	4.35	8.98	3.29	3.5	8.36	1.74	7.66	6.87	2.81	0.4	6.7	1.79	5.17	8.29	4.25	6.56
gene63	6.16	6.41	6.75	8.06	0.24	7.32	6.29	5.83	1.06	9.27	4.3	5.67	3.58	3.34	2.12	9.31	1.03	9.64	7.01	9.91	8.02	0.98	5.18	4.23	0.35	7.89	7.76	2.84	4.58	5.13	5.9	5.93
gene64	5.11	5.99	9.28	4.13	8.39	6.35	8.66	8.36	6.19	2.07	0.24	7.6	0.47	6.16	8.59	7.68	6.08	0.06	3.56	8.93	4.43	0.2	0.54	6.3	2.62	2.64	9.52	4.43	0.22	3.43	9.62	5.39
gene65	7.71	5.75	10.0	8.63	8.92	4.82	0.68	0.76	3.8	5.61	6.55	9.11	8.12	6.4	0.63	9.02	5.78	9.1	8.93	3.41	3.17	9.74	7.33	7.18	2.72	6.18	0.05	9.23	2.21	8.65	4.57	2.98
gene66	0.19	2.99	3.95	0.03	7.61	1.2	8.28	5.32	3.3	4.59	7.4	8.04	3.0	6.2	8.79	7.72	3.86	7.22	0.56	3.67	4.49	5.28	2.08	8.22	1.6	4.78	2.32	5.94	7.77	6.42	8.49	7.16
gene67	3.06	2.34	0.35	5.69	7.25	8.74	5.92	3.02	5.89	5.29	8.82	3.91	0.78	9.67	2.09	1.93	8.11	2.22	7.1	7.02	7.1	8.29	7.27	5.67	5.88	0.3	7.03	6.36	6.36	3.72	7.05	3.18
gene68	9.69	8.4	0.21	9.09	2.57	4.67	3.24	8.12	3.02	6.46	2.01	8.34	3.27	4.19	3.2	8.57	8.18	0.73	6.11	0.3	1.31	4.47	4.26	1.47	5.51	8.13	6.14	4.89	8.74	1.52	8.5	4.2
gene69	4.08	8.19	5.01	3.26	0.28	7.34	6.17	6.26	6.07	5.42	2.44	8.34	3.73	2.12	9.75	9.45	5.34	1.89	9.28	8.02	5.0	6.22	4.8	7.28	1.75	6.87	0.94	8.0	9.41	9.0	3.27	8.34
gene70	5.68	1.96	7.14	7.65	4.44	0.8	9.89	6.98	8.72	3.57	6.92	7.41	5.77	2.49	4.7	3.32	3.26	5.04	3.25	2.98	0.98	7.95	1.06	3.2	6.36	0.01	3.43	8.68	1.04	7.42	3.15	4.63
gene71	9.31	0.27	5.21	2.12	0.27	1.12	2.07	3.39	5.62	9.99	5.18	9.04	3.57	1.74	4.41	5.46	6.13	1.59	3.86	1.81	9.64	7.25	3.27	2.72	4.96	6.63	0.52	8.61	6.99	9.24	8.87	1.1
gene72	0.65	7.4	9.03	0.43	3.33	4.67	2.7	7.27	7.96	2.99	6.71	9.28	5.21	5.36	8.63	4.98	9.53	9.03	8.33	1.47	8.11	4.03	6.38	4.95	7.14	9.92	4.94	2.96	9.07	9.45	3.44	2.72
gene73	8.44	2.07	6.92	5.72	5.24	2.94	0.31	4.39	2.36	4.73	2.28	1.31	6.39	2.13	2.29	9.39	6.63	7.32	1.31	4.33	8.89	7.56	6.35	1.93	1.91	5.54	9.92	7.9	8.01	9.72	2.43	1.26
gene74	5.91	7.33	7.71	0.42	4.75	4.18	0.91	5.65	7.41	2.79	7.19	9.4	7.44	6.12	2.88	8.03	8.81	9.69	3.81	1.08	5.49	5.32	2.16	9.16	6.15	6.09	5.29	9.15	1.47	5.77	5.0	1.53
gene75	0.75	0.71	5.11	8.91	6.5	5.07	8.3	2.68	2.61	5.77	4.43	3.11	8.14	1.66	3.9	9.61	1.43	1.93	1.84	9.23	9.78	0.95	7.36	1.11	4.24	8.98	5.0	8.82	4.57	2.13	6.73	9.31
gene76	3.95	0.79	2.98	2.09	1.88	8.73	4.37	2.18	3.48	5.59	5.02	2.47	3.24	6.25	1.53	9.45	7.18	0.52	5.81	5.04	7.64	3.57	9.41	6.25	5.51	7.9	3.3	2.65	7.37	4.74	5.74	4.16
gene77	8.22	3.39	5.85	9.32	7.3	6.06	4.03	4.47	8.53	6.8	3.57	7.32	5.68	4.83	1.71	9.13	3.08	0.9	9.69	6.45	1.38	2.25	2.4	0.34	7.94	3.39	4.09	0.21	3.58	6.61	2.93	4.96
gene78	3.71	7.08	4.86	2.6	8.93	4.0	2.64	0.71	3.23	0.16	7.83	1.41	8.24	2.09	2.34	6.61	4.13	4.06	2.56	2.57	3.95	7.47	7.8	2.55	0.83	7.06	3.99	2.25	2.88	0.78	3.76	5.55
gene79	7.07	1.88	7.11	1.89	2.55	7.08	1.53	4.87	8.53	8.09	0.59	2.51	1.88	6.1	0.95	6.83	8.92	4.12	6.84	9.93	9.41	1.88	4.82	1.3	5.88	1.26	8.17	3.07	1.48	2.14	2.33	8.98
gene80	4.64	3.99	6.68	1.53	7.84	6.06	2.18	7.7	8.75	10.0	7.28	5.19	5.98	8.52	8.02	5.17	6.5	1.52	2.92	6.51	1.24	6.61	1.1	4.02	8.19	5.35	8.55	7.53	8.81	9.22	0.11	2.12
gene81	7.77	7.15	7.19	6.1	3.93	5.66	7.97	8.77	2.33	6.13	9.92	1.63	4.91	2.37	4.74	6.33	4.46	7.59	5.96	9.1	9.44	8.04	8.4	4.91	5.87	2.08	3.71	8.01	5.18	9.4	1.15	5.2
gene82	3.87	5.84	5.62	6.77	1.83	2.23	1.74	1.3	9.27	5.15	0.93	3.5	9.93	9.88	9.94	5.54	3.27	1.87	0.02	5.26	4.68	4.77	1.88	5.36	5.29	6.08	9.25	6.22	6.92	6.74	4.21	1.1
gene83	8.41	5.82	7.28	5.61	2.51	7.54	4.19	0.69	8.84	4.14	7.06	3.22	5.39	5.58	5.48	8.63	9.53	1.1	8.1	2.18	2.49	5.29	6.39	7.01	1.65	7.57	4.65	0.09	6.16	7.91	2.06	4.26
gene84	3.89	5.36	2.06	6.84	1.33	2.42	9.47	6.21	8.45	4.16	1.39	8.18	8.52	3.23	0.39	6.26	6.21	9.85	9.26	9.24	4.32	8.3	0.27	5.13	5.09	5.11	8.02	2.76	0.67	4.73	3.2	4.61
gene85	1.26	1.9	6.63	5.54	3.99	0.98	9.97	9.15	1.28	2.64	8.7	0.08	0.78	8.47	5.17	0.71	0.36	8.62	8.16	5.82	4.2	0.29	8.74	6.22	7.59	2.55	3.63	7.26	0.43	0.36	4.33	8.34
gene86	1.91	3.35	2.74	5.99	0.59	1.93	1.04	5.3	9.13	4.55	8.59	7.56	2.86	2.83	7.66	9.62	2.2	7.0	6.23	1.03	6.28	3.29	1.43	0.35	3.12	7.55	5.09	3.47	7.18	9.41	6.56	3.98
gene87	3.5	9.11	3.86	8.45	0.91	8.75	1.25	0.66	1.21	3.21	6.3	2.16	2.23	7.19	4.25	2.93	0.2	6.94	2.15	6.51	8.15	5.7	1.65	2.21	6.49	2.18	6.31	0.01	0.76	4.19	3.91	6.12
gene88	8.73	6.11	2.08	2.39	2.63	7.54	8.3	2.25	3.12	8.74	6.84	0.7	0.9	4.49	7.03	3.09	2.66	1.05	2.4	9.84	7.92	3.87	6.92	3.48	7.29	7.62	1.67	9.37	4.29	7.24	4.96	1.25
gene89	7.22	9.49	3.11	8.21	8.01	1.17	8.45	8.46	7.45	5.07	5.57	0.66	1.28	5.83	4.72	8.72	3.37	1.77	9.81	0.56	1.12	8.0	1.38	2.66	4.36	0.48	7.32	0.07	0.51	0.07	1.51	8.07
gene90	1.48	9.47	5.65	2.59	2.98	6.95	2.93	1.46	1.74	9.24	7.8	8.95	3.22	9.68	6.64	7.73	0.47	1.47	5.48	2.19	3.35	4.52	9.64	8.56	5.38	1.09	7.95	8.62	2.09	7.43	7.71	9.12
gene91	3.88	2.32	1.68	2.16	6.75	1.76	8.25	3.95	1.7	8.57	9.15	0.06	2.37	5.53	6.18	2.51	6.35	9.86	6.4	9.27	6.95	1.03	7.43	4.25	7.99	2.75	8.01	3.67	8.95	9.42	1.79	6.33
gene92	4.0	4.45	6.73	8.25	0.43	3.34	0.5	7.18	9.69	5.43	3.48	9.43	8.11	0.73	3.81	6.26	7.88	7.49	7.9	3.45	7.99	6.5	6.03	3.14	3.35	9.16	1.27	3.49	8.58	7.78	8.06	0.82
gene93	8.79	4.81	2.29	3.18	3.12	4.65	9.84	3.71	4.52	5.5	0.06	4.92	9.54	8.38	6.02	6.83	3.32	2.22	2.15	4.67	6.79	3.89	2.24	8.78	2.39	1.88	0.57	4.14	2.84	4.91	1.88	0.63
gene94	9.39	2.76	5.97	8.42	2.14	7.99	9.92	1.85	6.18	7.21	3.04	2.39	6.74	2.26	7.82	5.11	3.97	9.73	5.66	9.01	1.33	1.31	7.52	6.14	2.52	5.37	1.53	3.9	9.69	3.29	0.13	9.73
gene95	7.69	5.52	1.6	6.7	8.02	1.59	8.17	3.48	6.9	1.85	9.08	9.02	5.19	7.26	4.91	6.57	1.14	3.2	4.12	2.59	0.14	4.37	1.59	2.83	0.26	4.85	2.96	6.16	1.78	7.55	3.92	6.15
gene96	8.2	3.93	2.13	0.37	5.05	3.22	7.73	3.08	7.61	3.4	4.49	9.99	1.16	5.97	0.56	1.23	2.69	3.1	7.76	3.33	10.0	6.95	0.66	5.93	7.49	7.95	1.57	9.5	9.19	1.37	6.62	1.89
gene97	3.63	7.46	2.44	1.3	1.51	9.4	3.04	9.83	8.9	1.37	5.07	9.78	9.78	1.5	3.61	9.67	4.04	7.64	1.02	6.81	3.43	1.54	6.17	4.19	4.66	3.09	3.83	5.9	0.52	9.81	5.03	6.74
gene98	8.8	9.38	6.1	2.81	5.42	7.49	3.94	3.1	4.25	1.46	1.39	2.98	6.82	0.67	6.62	2.03	3.9	0.54	1.56	4.56	9.98	2.59	2.31	1.65	9.56	3.54	4.18	3.09	6.13	0.08	4.26	8.0
gene99	7.39	3.06	9.36	2.17	9.4	5.07	0.49	1.52	2.65	8.29	7.65	5.5	5.07	6.12	2.16	3.7	2.23	2.83	9.92	8.34	6.57	9.54	2.33	6.52	6.02	4.67	9.61	0.16	4.03	4.43	8.81	7.06
