gene_name	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32
gene18	0.65	0.7	0.24	7.8	9.98	2.99	8.2	2.14	8.25	9.39	8.87	8.05	9.78	5.61	5.71	8.64	9.84	1.01	7.6	5.16	2.35	4.47	8.67	7.59	6.74	4.13	1.46	9.28	3.19	2.75	6.32	0.07
gene19	3.87	4.43	5.97	6.7	3.18	1.55	4.35	9.61	2.34	1.06	8.29	4.02	2.9	3.13	3.46	3.44	4.2	1.13	9.35	1.21	4.95	3.62	9.61	6.16	7.25	5.32	9.07	4.19	8.99	8.46	4.81	1.85
gene20	5.33	1.89	7.21	7.71	9.77	9.95	1.8	6.41	7.14	6.04	2.2	7.97	8.32	0.98	6.27	7.82	5.47	5.44	0.4	9.53	4.55	7.13	9.31	5.25	9.54	0.6	3.46	1.15	9.71	2.92	5.43	8.28
gene21	4.04	3.6	8.78	8.41	2.51	3.85	6.82	4.38	2.32	2.03	6.21	9.59	8.34	6.08	5.28	4.42	5.7	0.23	1.96	0.89	7.13	6.5	3.24	8.79	8.26	6.67	0.02	1.77	0.68	1.33	3.47	9.61
gene22	1.05	9.83	4.76	2.98	1.28	5.87	3.89	5.07	3.45	3.87	3.36	9.24	8.45	2.95	9.09	9.14	6.92	6.51	8.09	3.53	1.95	2.5	8.32	4.59	4.74	8.21	9.5	8.54	2.95	1.64	8.71	5.84
gene23	2.54	6.21	4.79	7.9	2.01	3.21	2.31	3.14	9.42	2.19	3.55	0.4	4.67	5.83	5.53	2.11	6.69	2.13	7.24	0.62	5.97	8.51	0.62	8.25	5.64	5.45	7.34	9.47	3.9	5.44	1.03	3.29
gene24	0.57	8.28	6.09	3.64	0.86	9.94	1.67	2.84	6.36	1.29	3.25	4.6	9.92	3.34	3.39	7.71	4.64	7.68	9.01	1.97	0.39	7.82	6.01	0.31	0.38	4.1	8.46	3.03	9.16	5.47	7.96	6.87
gene25	7.44	0.85	2.77	1.69	9.53	3.28	5.06	8.62	1.88	8.63	2.5	7.86	5.92	5.02	2.65	0.88	3.26	6.51	0.23	7.74	5.19	2.88	9.83	9.54	1.18	1.71	5.87	3.88	1.96	7.55	0.67	5.4
gene26	2.29	3.49	8.22	0.27	2.47	8.75	6.22	7.24	7.59	4.58	6.33	6.48	9.99	6.13	2.27	5.69	9.86	2.83	9.61	7.38	9.44	8.98	2.86	0.93	2.92	0.85	7.57	9.31	4.56	9.71	3.55	7.9
gene27	1.4	8.31	4.45	4.77	0.15	3.85	5.83	4.46	7.12	3.65	4.84	4.66	0.25	5.88	9.53	0.28	9.93	1.45	4.84	1.67	0.93	6.39	8.57	5.1	4.32	8.87	0.84	7.91	4.43	9.11	8.35	1.39
gene28	8.92	5.48	7.56	5.02	0.22	4.2	8.64	5.4	9.87	1.68	2.42	6.51	3.91	0.62	9.04	8.56	7.54	6.87	9.53	5.05	5.23	7.25	5.64	9.47	3.84	9.25	6.23	7.15	1.02	0.76	4.71	4.95
gene29	6.16	0.83	2.46	6.94	4.93	9.93	1.0	4.81	5.17	1.1	6.79	5.36	5.56	2.66	0.0	8.47	0.29	0.9	6.18	7.09	8.19	1.54	6.9	5.01	4.81	2.95	1.63	8.77	1.94	6.84	4.88	8.38
gene30	0.41	8.26	8.55	4.43	0.4	0.0	5.02	5.71	4.06	1.42	4.27	1.19	9.35	4.73	3.08	6.09	9.92	7.71	3.97	8.14	6.53	5.72	1.14	5.76	8.33	2.16	3.84	7.73	1.8	3.45	1.93	5.89
gene31	0.26	6.26	6.18	5.45	0.24	4.09	2.35	4.5	1.28	6.89	5.21	3.71	4.55	6.75	2.29	0.99	3.74	8.29	7.07	9.96	2.48	9.74	1.19	2.42	5.93	4.91	5.78	2.32	9.65	5.67	5.18	2.72
gene32	8.32	1.54	7.67	7.01	8.08	1.6	8.73	3.91	8.38	0.28	7.38	2.23	4.78	7.89	5.05	3.09	7.43	7.12	7.4	2.37	0.9	8.06	2.6	1.02	7.72	6.69	9.79	0.8	4.13	9.55	7.31	0.62
gene33	5.76	6.66	8.55	5.01	3.53	5.66	3.79	7.91	4.43	6.44	1.37	9.15	7.17	9.38	5.97	5.61	1.26	0.15	9.42	1.54	3.98	3.9	4.43	2.18	9.47	0.34	7.22	6.93	4.21	9.08	2.42	8.88
gene34	2.96	3.15	7.57	6.11	1.68	6.75	2.15	3.07	2.8	2.11	7.75	5.3	0.35	6.29	9.78	5.77	5.73	2.03	2.47	4.24	4.12	5.11	4.52	2.37	6.29	0.85	4.76	2.86	1.13	0.78	0.98	4.92
gene35	7.86	0.47	8.22	7.97	3.7	2.24	6.31	8.96	7.06	4.61	3.97	2.97	0.48	1.64	8.71	5.84	4.88	4.6	3.49	3.65	1.26	7.71	7.59	3.83	5.82	7.17	8.04	3.56	8.14	0.21	8.73	4.07
gene36	9.15	4.72	2.78	1.69	0.02	2.3	4.09	5.31	7.61	9.86	0.85	1.68	7.33	4.64	2.68	8.82	0.03	0.55	4.48	2.32	5.65	9.44	9.01	8.86	5.31	5.66	0.53	6.2	6.46	1.7	3.68	3.81
gene37	2.58	8.21	1.34	9.43	7.33	3.57	9.39	8.45	8.46	0.22	8.48	8.06	0.9	4.46	3.75	2.76	7.82	5.1	0.04	8.18	1.63	4.64	7.19	6.67	2.71	4.43	2.54	3.1	9.83	4.05	3.71	5.35
gene38	2.07	1.23	0.02	6.79	6.66	0.06	8.97	9.1	2.88	3.32	1.24	3.59	0.69	2.12	3.6	0.04	1.88	1.84	5.72	6.88	9.96	3.04	2.01	3.09	9.15	6.51	2.78	9.65	8.75	9.84	4.49	9.89
gene39	3.67	6.63	0.42	5.96	8.27	5.61	2.11	3.76	6.94	4.58	1.44	9.51	5.66	5.31	3.67	0.55	6.08	5.07	8.02	2.2	0.16	5.51	0.06	5.73	1.15	1.03	6.52	9.43	3.33	0.18	5.71	8.5
gene40	0.3	5.73	1.83	7.24	3.94	7.96	8.89	0.55	9.95	8.83	5.46	7.18	5.24	5.03	5.23	3.58	7.17	1.0	7.02	6.21	3.53	9.48	8.56	9.67	3.35	4.66	5.72	4.16	8.17	2.07	8.01	0.07
gene41	3.02	3.45	0.68	5.18	4.4	1.47	0.61	9.53	5.65	4.36	7.22	6.95	2.62	5.09	9.0	4.82	5.17	3.33	6.14	2.25	8.55	8.68	2.91	8.04	2.01	3.41	3.12	0.25	9.11	1.55	4.81	6.26
gene42	7.04	1.01	5.68	5.93	9.6	0.43	3.98	5.61	0.78	2.05	4.05	1.4	9.15	8.87	1.57	1.09	5.67	6.18	7.98	1.31	9.38	9.18	9.21	9.01	8.67	5.0	6.64	8.48	3.9	8.81	1.71	8.29
gene43	8.5	5.79	8.69	7.6	2.37	5.48	4.82	5.0	0.5	3.88	0.72	7.24	9.49	1.65	3.4	4.23	2.67	6.55	2.46	0.37	10.0	2.21	1.38	2.49	9.16	2.74	8.75	8.48	2.33	1.71	8.45	3.71
gene44	3.29	0.69	4.77	0.26	2.97	3.13	8.62	2.16	9.44	0.13	6.7	3.82	7.17	9.3	9.74	6.83	7.77	2.1	1.67	6.55	7.94	1.09	2.41	4.43	6.03	0.76	2.72	0.16	0.61	2.04	2.33	2.53
gene45	0.03	4.61	8.12	9.61	2.69	9.41	7.48	0.75	6.89	9.89	9.51	0.01	0.04	2.81	2.87	5.37	1.85	4.86	8.69	0.46	4.37	8.64	4.89	2.71	6.24	1.26	0.78	4.79	1.16	4.64	1.3	0.55
gene46	5.77	9.07	5.08	6.67	7.25	5.14	6.13	0.19	0.59	5.44	6.2	2.46	8.72	8.88	2.21	4.55	1.01	2.07	8.04	3.4	5.79	8.7	7.98	5.43	9.97	0.09	6.13	1.79	3.68	3.38	7.49	8.68
gene47	6.3	2.65	0.75	1.01	8.47	2.78	5.37	3.37	8.82	2.14	1.58	6.85	1.35	7.37	5.11	0.66	3.82	9.5	2.68	1.43	4.0	9.9	4.88	8.01	8.47	3.98	1.14	5.05	8.62	5.92	9.39	5.73
gene48	4.28	6.37	0.03	5.78	7.4	0.47	0.47	6.13	3.93	6.41	8.55	5.5	0.01	2.44	9.33	4.98	8.82	2.12	1.19	3.97	1.55	1.46	8.45	4.12	0.99	9.88	1.88	5.08	4.29	8.22	9.22	8.32
gene49	0.82	4.57	9.64	8.33	4.25	7.86	8.3	5.36	6.61	1.59	0.82	1.63	3.78	6.68	8.49	9.07	3.11	1.75	1.93	7.61	3.59	2.54	1.55	4.2	3.49	1.29	0.02	3.49	0.39	1.77	3.66	9.63
gene50	6.59	8.76	9.23	7.69	1.44	2.63	1.53	8.31	2.0	4.38	1.71	7.65	2.85	7.71	1.62	4.7	2.11	8.03	8.06	0.54	4.18	0.39	0.26	1.01	6.45	2.75	6.04	6.92	1.83	2.33	6.72	0.18
gene51	7.56	2.26	7.99	9.29	7.95	8.6	2.18	4.61	3.03	2.14	5.5	4.11	5.46	5.68	0.79	0.28	7.98	6.81	6.06	4.75	5.79	8.06	0.31	9.8	4.39	5.64	4.87	1.54	8.46	1.21	1.15	1.43
gene52	7.21	0.47	0.09	4.83	4.38	1.58	4.11	9.21	9.75	0.4	9.56	5.98	1.39	2.28	9.18	7.43	8.55	9.81	2.11	3.14	6.58	4.12	7.33	4.18	7.36	7.27	9.01	7.69	5.1	5.69	9.06	3.28
gene53	4.02	2.68	4.26	8.03	9.89	2.95	5.94	9.04	7.8	2.05	3.18	1.31	1.51	9.63	0.62	9.75	5.27	1.83	8.57	5.71	9.91	2.62	3.01	6.21	6.55	7.85	1.21	5.27	0.54	1.49	7.6	9.44
gene54	8.5	8.72	2.05	9.77	6.84	1.83	5.91	8.54	7.79	6.12	6.43	3.93	4.17	0.42	8.37	0.17	1.74	1.32	6.27	1.87	6.14	2.65	1.3	1.69	4.57	6.0	3.02	6.28	3.45	0.49	3.12	8.14
gene55	8.24	0.16	2.88	8.84	8.07	6.86	2.93	5.32	1.52	3.84	1.36	6.53	9.2	4.76	6.33	3.92	3.83	7.74	8.25	0.27	9.13	5.45	3.34	5.96	4.46	2.09	9.21	0.76	7.0	9.02	6.06	7.34
gene56	9.53	8.33	4.77	2.73	4.85	9.51	7.89	3.92	5.26	0.02	2.66	2.36	3.2	3.05	7.21	4.93	1.76	3.94	9.29	0.77	7.81	0.67	2.75	5.76	9.84	8.88	9.07	7.39	9.0	0.52	0.99	1.1
gene57	2.6	1.78	3.38	4.79	8.46	9.13	9.23	6.51	4.58	1.91	9.82	0.64	5.97	3.74	4.93	9.94	4.66	1.88	8.29	3.15	3.91	5.72	3.06	9.79	1.61	4.15	6.87	2.65	4.81	9.99	5.8	7.44
gene58	6.6	0.55	8.89	4.3	6.94	6.5	2.83	6.87	5.39	0.16	4.19	7.75	7.38	1.18	5.82	7.14	4.58	1.1	6.56	5.99	1.39	8.38	4.9	6.98	8.45	3.07	2.24	4.91	3.58	3.66	9.15	0.18
gene59	4.25	7.02	1.27	3.87	5.26	6.5	9.45	6.73	1.39	2.43	9.19	5.28	4.09	1.44	2.81	7.33	2.81	6.02	1.25	2.37	2.09	9.92	1.53	7.98	3.19	6.75	5.71	2.42	9.68	0.95	8.51	7.4
gene60	4.93	8.77	2.07	2.25	3.11	4.68	3.02	9.88	7.02	8.58	3.94	4.49	7.26	0.13	5.99	7.13	1.78	9.01	4.29	0.48	8.37	3.73	2.26	7.52	5.32	4.25	4.1	1.23	3.5	4.79	6.76	2.86
gene61	4.28	6.15	7.68	6.83	5.81	5.27	4.3	5.31	3.29	9.65	7.1	2.32	0.55	1.38	6.77	9.85	2.33	9.17	9.32	6.45	6.0	3.17	2.57	5.72	5.92	3.57	6.82	9.05	7.45	1.4	4.65	1.39
gene62	3.05	3.93	3.95	7.15	0.07	9.15	3.64	2.48	4.6	4.42	5.35	1.53	5.53	9.37	2.56	9.86	4.07	8.68	4.18	3.24	5.03	2.16	5.31	5.8	6.79	2.23	9.12	3.17	8.5	1.1	7.37	7.8
gene63	8.72	5.8	1.66	0.51	5.29	1.21	8.77	1.42	3.25	4.69	5.23	0.86	0.37	9.79	1.99	7.5	5.02	0.99	0.56	9.27	7.52	6.99	1.55	3.72	7.56	2.99	9.92	5.28	1.14	8.82	1.81	9.69
gene64	2.95	8.88	9.94	7.23	4.21	6.48	6.52	3.8	8.96	8.25	6.07	9.96	3.36	3.72	6.35	7.1	2.67	1.88	7.7	6.62	1.58	2.49	9.57	3.26	2.71	9.57	8.14	5.16	9.03	9.8	4.2	4.09
gene65	3.04	1.33	3.77	4.76	8.46	6.97	2.01	7.92	6.0	2.84	2.88	6.64	2.76	5.62	1.44	5.83	4.68	2.77	5.55	4.95	5.01	9.99	1.28	3.6	6.36	8.95	4.56	9.8	3.09	2.43	5.21	0.27
gene66	4.04	3.48	2.36	1.25	8.35	9.41	4.91	0.08	5.1	9.85	0.96	6.56	6.93	1.0	1.2	1.1	7.72	1.45	0.66	2.83	9.7	5.93	9.87	0.93	1.94	5.71	4.7	1.19	7.85	1.58	1.03	8.74
gene67	0.52	9.53	8.82	7.94	2.76	7.53	2.36	9.47	2.29	2.62	9.27	5.74	5.07	0.64	1.33	2.38	3.55	9.77	8.93	6.55	1.74	3.88	0.74	8.02	8.56	7.85	6.03	0.59	1.1	7.32	5.22	5.27
gene68	4.48	0.64	6.81	3.36	0.71	0.73	6.6	0.89	0.76	6.62	3.48	9.64	6.99	9.6	0.71	5.81	3.73	5.3	2.94	2.95	1.66	7.72	8.25	8.25	0.71	5.32	9.59	4.71	3.86	1.04	2.35	0.42
gene69	8.35	9.55	1.62	7.15	8.77	7.0	4.08	0.59	0.2	6.12	0.9	7.31	0.48	2.18	4.18	5.96	0.67	1.89	1.64	4.87	7.47	0.87	2.98	8.55	8.3	5.58	8.86	6.55	5.95	2.68	3.5	0.72
gene70	8.08	0.88	4.74	9.9	4.46	7.69	6.42	2.5	3.25	8.97	9.21	6.44	0.46	8.56	4.58	0.9	0.49	9.46	8.95	1.22	0.0	0.65	9.91	0.9	6.64	2.14	9.21	7.25	1.44	8.32	7.29	7.96
gene71	3.93	5.93	8.61	0.73	2.35	4.05	7.79	1.73	8.32	8.52	0.57	3.51	2.91	8.59	3.17	9.1	4.06	2.83	7.07	4.66	6.51	2.67	9.82	6.17	3.1	4.58	4.06	4.52	1.53	3.16	2.69	6.0
gene72	7.09	0.43	4.15	6.69	3.51	7.33	6.76	7.21	9.65	9.67	1.81	8.71	1.87	2.63	8.76	2.97	3.12	2.07	8.2	2.56	6.75	1.66	1.82	2.88	0.23	2.27	5.81	8.72	4.77	0.25	6.66	7.63
gene73	3.57	9.48	4.86	2.94	7.66	5.85	6.22	7.05	4.09	7.91	9.5	1.26	6.54	4.38	8.97	1.47	2.54	9.25	9.34	9.5	7.71	4.22	3.24	4.26	7.85	4.04	3.69	4.59	9.53	0.86	6.86	6.74
gene74	0.76	7.31	7.76	6.01	8.77	5.27	8.14	6.96	9.63	2.27	4.53	0.53	8.9	3.02	6.6	6.34	4.76	0.25	4.19	8.26	6.2	0.16	2.84	8.22	8.38	9.72	0.82	0.26	4.83	5.52	0.55	6.36
gene75	0.55	6.66	2.57	4.55	2.19	9.83	9.0	6.41	3.62	8.67	4.26	3.55	6.57	9.36	0.29	7.03	5.7	3.93	0.35	5.3	9.41	8.81	4.62	1.2	8.25	6.11	9.38	5.12	5.48	0.97	0.67	6.66
gene76	0.5	0.04	7.28	0.77	5.4	6.35	7.6	9.93	0.07	5.26	9.49	4.81	3.87	9.52	4.96	3.31	4.91	0.08	2.33	3.42	0.48	8.89	1.48	0.31	9.3	0.59	3.38	9.17	9.04	2.5	2.57	3.76
gene77	1.6	2.38	6.0	1.89	2.31	3.91	8.22	3.36	6.35	8.14	3.65	2.7	9.78	2.52	5.03	2.58	4.79	8.86	3.43	2.07	3.42	5.02	8.24	1.07	7.81	4.04	2.29	9.47	5.71	3.27	2.22	4.82
gene78	6.23	0.28	2.62	3.17	5.23	6.4	1.65	1.74	9.33	6.16	9.24	8.15	7.21	5.5	6.34	7.7	0.38	1.78	9.55	6.61	0.82	7.97	0.48	7.49	4.95	7.73	9.67	5.56	5.62	9.93	8.91	1.03
gene79	8.06	4.1	5.39	9.08	8.98	4.12	9.24	2.95	4.23	7.51	7.25	8.69	6.88	9.52	9.11	3.16	2.44	1.86	6.97	8.09	0.3	1.32	3.12	1.46	0.31	1.4	4.97	3.52	1.6	2.67	8.75	4.04
gene80	2.18	0.73	5.06	8.37	4.44	3.33	6.03	9.55	9.14	1.6	6.66	9.71	7.46	6.3	1.81	6.89	7.48	3.84	0.11	3.9	9.24	5.49	3.22	0.74	0.62	5.6	8.71	7.18	2.53	3.37	7.4	2.52
gene81	6.87	6.38	5.77	9.9	0.48	9.45	5.0	4.0	4.47	0.43	7.02	6.97	0.23	9.47	8.15	4.79	6.14	4.35	8.43	7.0	3.03	7.49	6.69	4.68	8.2	8.24	2.21	1.22	8.34	2.49	4.27	6.61
gene82	9.1	3.81	3.18	9.83	3.24	5.06	9.9	7.91	9.86	5.77	4.77	3.58	1.87	0.39	6.26	9.78	4.08	7.03	0.97	3.36	5.4	5.86	1.89	6.8	5.52	1.58	5.1	0.9	1.85	2.52	5.36	7.42
gene83	9.08	9.88	4.41	4.44	0.54	0.02	9.23	5.74	0.81	9.99	3.95	7.44	5.32	8.25	8.37	1.19	8.97	9.13	4.46	4.27	8.52	5.87	2.11	4.63	5.3	1.4	9.5	2.24	5.6	0.6	2.8	0.74
gene84	5.53	8.23	5.24	1.79	2.02	1.44	9.29	4.25	0.07	4.88	6.18	2.32	5.64	0.2	0.84	7.94	3.36	1.01	7.06	0.12	2.91	5.28	9.5	1.05	5.5	4.4	8.77	7.82	6.91	8.51	3.01	1.33
gene85	3.84	4.26	6.09	7.55	4.62	8.29	7.26	4.08	2.22	8.11	2.33	3.99	8.79	5.92	8.2	2.87	4.3	1.49	3.43	3.64	7.03	4.46	9.07	7.68	9.68	9.88	0.92	1.23	1.2	8.23	6.07	3.65
gene86	1.77	6.82	2.79	2.78	4.95	0.82	6.51	9.99	9.6	2.21	0.33	9.88	3.94	9.15	6.5	3.6	1.92	3.38	7.87	1.84	0.54	8.41	4.92	3.39	8.6	6.22	5.51	0.2	2.95	5.67	9.52	1.68
gene87	9.46	5.36	8.85	8.75	2.68	3.64	2.08	5.62	6.65	5.88	0.15	4.61	2.66	1.28	9.98	6.85	1.45	2.96	8.98	6.26	4.52	6.36	7.39	5.08	9.65	1.77	4.83	0.49	5.15	4.06	5.71	8.63
gene88	8.02	1.58	0.08	3.61	8.0	1.99	0.16	2.69	4.32	4.95	9.55	6.91	6.15	9.24	8.14	4.32	4.34	6.64	2.36	3.1	7.02	2.91	3.93	0.69	9.33	6.58	5.04	7.44	3.95	1.69	8.79	7.58
gene89	2.21	7.6	9.24	3.25	4.76	5.37	6.71	0.37	3.37	3.05	6.84	6.28	0.59	2.56	1.39	8.46	8.45	0.72	3.98	0.13	6.2	4.84	2.44	7.37	4.52	1.05	5.95	3.54	9.94	0.84	0.2	1.01
gene90	3.88	9.48	3.05	8.62	9.44	3.97	5.75	5.18	3.02	5.57	6.63	0.7	9.99	6.45	9.47	7.57	8.16	6.12	0.73	3.96	5.36	3.92	5.33	6.2	4.66	5.22	5.58	2.75	6.55	2.87	0.26	6.33
gene91	1.42	1.61	2.03	1.02	0.02	4.49	8.05	8.5	8.55	6.68	7.96	8.44	7.03	3.24	3.65	3.66	5.18	4.35	5.23	3.08	8.98	5.48	5.92	4.0	0.48	9.84	4.99	4.65	2.3	2.31	0.15	9.88
gene92	7.1	3.75	0.34	4.13	0.65	5.51	7.36	4.26	1.77	3.37	5.48	2.77	8.37	8.48	0.54	6.26	1.91	9.03	3.36	8.55	6.22	9.52	4.98	5.2	3.54	6.59	7.11	9.5	6.23	4.67	5.82	9.26
gene93	7.05	8.54	1.52	8.09	0.8	7.26	6.16	8.69	7.14	6.5	1.63	5.27	4.34	6.44	7.81	8.73	3.23	5.25	9.17	9.88	2.4	6.75	9.85	7.09	6.41	0.75	0.06	4.02	3.46	9.89	3.55	5.5
gene94	1.47	6.07	0.53	2.63	4.08	9.53	2.4	4.36	4.97	7.88	3.25	8.52	2.47	9.82	0.33	8.42	0.74	6.41	7.91	4.77	8.82	1.66	8.44	3.03	7.84	4.1	9.58	7.25	8.29	5.86	0.2	7.87
gene95	6.23	7.28	4.65	1.51	4.91	7.18	9.15	8.34	2.67	3.4	2.77	0.77	0.88	9.43	4.77	0.82	0.97	0.33	0.74	5.57	2.33	6.59	8.24	8.54	2.86	2.37	8.24	9.37	1.73	9.3	2.33	1.83
gene96	8.87	4.14	4.14	2.15	8.0	3.15	1.65	1.19	7.4	6.63	2.74	0.7	0.05	2.15	5.42	5.3	4.21	2.48	7.01	6.71	0.19	5.12	2.26	7.51	3.75	6.9	4.92	8.42	7.78	7.44	8.14	4.17
gene97	8.73	7.78	7.62	3.33	7.86	8.41	2.41	8.59	1.36	2.26	4.84	5.61	6.8	1.29	5.76	6.86	1.72	2.85	9.82	0.35	2.29	9.27	6.69	2.37	6.93	7.15	7.42	8.47	3.83	6.52	0.0	6.71
gene98	1.53	7.42	3.37	8.77	7.92	3.62	2.33	0.64	5.08	0.92	0.3	8.26	4.08	2.24	6.24	5.34	8.63	0.22	4.59	6.53	9.97	4.23	6.69	5.86	2.88	7.21	2.07	2.53	3.43	2.02	2.09	0.78
gene99	4.57	6.72	1.3	5.47	4.61	7.3	3.24	6.97	2.61	3.08	2.31	3.08	5.23	0.73	1.84	5.32	0.95	2.51	7.29	8.33	5.1	2.98	7.44	7.86	2.64	5.54	7.07	0.51	6.03	7.25	3.23	4.16
