gene_name	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32
gene28	8.21	8.78	3.91	6.87	1.28	7.05	9.09	1.46	4.53	6.74	6.0	9.07	9.87	8.8	5.88	0.04	8.98	8.74	6.72	9.01	7.28	7.25	8.69	8.86	5.87	5.4	5.95	8.36	0.61	0.05	1.26	6.61
gene29	0.2	0.08	6.92	6.81	6.5	2.27	5.93	5.16	5.19	6.23	6.81	2.6	4.09	2.4	7.57	9.19	5.95	6.72	4.33	9.06	8.49	2.25	4.7	2.79	7.36	0.48	8.07	2.61	1.82	2.87	2.88	4.4
gene30	5.02	7.27	0.69	6.27	8.02	5.84	4.15	3.31	1.34	7.96	2.85	5.39	1.12	8.12	9.74	4.55	8.23	7.61	7.34	1.64	3.6	7.7	6.13	9.28	2.72	0.63	4.13	3.35	8.95	4.68	3.86	5.09
gene31	1.56	9.72	8.73	2.71	1.28	4.68	1.03	5.72	9.26	5.41	8.77	8.06	5.68	1.84	8.86	1.47	7.86	0.26	9.74	5.96	4.34	8.84	7.19	9.78	0.91	8.77	4.1	5.6	9.39	7.57	0.94	3.3
gene32	6.56	6.21	8.41	2.01	10.0	3.09	7.16	7.69	4.12	0.07	2.33	5.9	0.88	8.97	3.21	1.26	6.6	6.17	8.65	2.99	1.37	0.17	4.68	3.69	2.04	1.91	0.69	9.3	7.47	5.83	9.84	4.49
gene33	0.44	8.68	1.59	6.42	8.76	0.38	1.25	6.83	3.76	6.99	5.66	7.9	9.82	9.23	9.18	8.59	5.3	2.81	9.79	3.79	8.45	7.23	5.94	0.71	4.65	8.22	5.69	7.92	1.76	4.08	4.69	1.82
gene34	0.18	0.82	8.2	4.86	7.94	7.89	8.4	9.43	3.73	2.48	4.38	8.74	0.15	8.8	0.03	3.39	4.81	9.15	4.96	6.57	1.82	4.04	8.14	0.46	9.95	6.34	5.26	7.31	1.68	2.03	2.42	5.64
gene35	9.53	7.12	3.6	9.82	8.89	6.9	7.69	7.99	2.28	6.53	8.46	7.02	8.83	8.78	4.59	5.49	1.97	8.06	2.59	3.04	3.63	6.03	0.6	0.64	2.36	2.71	6.91	4.0	7.83	4.27	4.78	7.39
gene36	8.09	8.6	9.73	0.56	0.42	6.08	8.63	2.11	3.05	8.39	0.74	8.7	7.31	4.18	3.62	7.63	1.67	9.4	9.69	4.88	1.72	1.94	9.64	7.38	9.53	4.4	2.93	2.97	5.22	4.27	9.35	3.67
gene37	6.73	1.77	6.23	6.51	9.35	1.39	3.26	2.19	4.1	5.29	1.43	0.39	3.81	3.14	9.05	3.68	6.23	6.39	0.57	7.0	8.84	8.05	0.02	5.34	6.06	0.76	0.47	9.23	7.5	5.76	5.15	6.82
gene38	3.58	3.1	1.77	2.33	2.79	0.18	3.47	9.04	4.02	1.04	2.94	3.52	6.68	8.54	4.9	4.13	7.22	1.76	0.28	7.35	3.81	7.56	8.19	6.68	3.11	1.63	4.15	2.5	7.92	0.09	1.08	9.47
gene39	1.18	8.79	1.83	5.98	9.41	6.59	6.93	7.72	4.16	7.28	6.09	8.86	2.76	9.83	4.59	0.3	6.6	0.11	2.11	7.83	7.27	0.76	5.78	6.28	5.11	4.47	8.86	1.78	9.57	7.93	3.8	2.29
gene40	4.35	6.33	3.74	7.41	5.94	5.84	6.15	8.96	4.02	9.45	4.91	7.81	9.96	3.31	6.02	4.5	8.8	5.31	6.51	7.83	0.0	7.25	8.16	2.68	6.83	5.1	8.02	1.03	9.37	7.44	4.21	4.75
gene41	1.35	2.54	8.52	3.6	8.1	1.38	5.74	0.78	0.59	5.34	3.19	8.9	5.06	7.81	8.36	7.04	7.29	5.7	7.78	9.82	4.64	0.25	0.08	1.57	4.64	2.2	5.3	1.86	1.61	2.0	9.58	6.87
gene42	1.35	5.81	7.07	2.78	1.74	8.93	7.1	0.83	5.97	4.44	2.82	1.25	4.76	5.21	0.85	5.91	3.0	8.57	7.72	4.06	0.31	1.63	7.73	4.2	2.51	5.1	1.06	5.34	2.1	3.42	0.98	4.53
gene43	7.35	2.01	0.13	2.48	7.74	0.8	6.76	5.76	3.27	6.6	6.01	8.94	7.93	7.54	8.01	4.44	5.3	1.53	5.5	1.22	4.25	7.5	4.86	0.48	5.21	8.91	0.09	8.41	3.7	5.11	8.92	6.44
gene44	3.57	7.21	4.85	5.13	5.31	3.37	3.04	2.23	9.36	5.74	3.77	8.24	5.47	2.4	4.95	4.0	6.28	5.2	7.47	8.55	4.98	2.4	8.18	4.1	5.05	8.02	9.13	9.82	1.23	4.46	1.2	4.44
gene45	5.29	4.91	5.92	4.08	7.8	8.57	0.54	3.42	4.46	6.81	1.22	6.23	7.72	7.6	7.24	6.38	0.98	2.94	2.76	8.56	1.22	0.75	5.28	8.61	9.59	7.3	2.48	8.44	0.4	5.8	0.57	4.12
gene46	4.77	3.42	6.25	7.43	5.5	3.09	7.91	7.19	6.98	2.47	8.13	1.46	9.0	5.34	1.07	4.92	9.58	9.47	3.75	9.42	6.85	7.1	4.91	7.75	1.08	8.26	1.21	2.07	1.67	3.79	9.69	1.89
gene47	7.73	8.15	7.44	3.8	7.64	1.94	3.07	9.8	6.57	7.77	5.42	9.78	5.53	1.9	6.06	2.21	1.0	4.71	5.7	7.87	8.69	1.12	9.4	5.25	2.43	6.05	2.34	7.7	8.54	8.46	0.11	0.83
gene48	6.33	7.33	7.46	9.81	9.9	1.65	5.41	1.25	7.75	5.92	3.7	3.06	4.91	5.87	6.03	5.86	9.8	8.97	7.79	2.14	3.31	8.13	4.77	8.52	8.21	7.85	3.57	0.73	1.91	5.51	3.25	3.57
gene49	6.38	1.46	0.16	7.68	1.69	5.21	4.33	7.85	8.9	5.63	8.8	6.94	9.99	8.21	6.7	1.43	0.42	9.7	9.46	6.56	5.43	6.34	6.26	3.04	8.88	1.58	0.62	9.46	9.28	2.54	7.29	8.99
gene50	0.42	1.0	7.81	6.48	1.03	6.25	6.02	8.44	2.53	8.35	9.12	3.8	5.63	5.7	1.33	7.55	1.41	5.08	7.6	5.14	5.85	1.15	2.46	0.79	5.51	6.96	8.21	5.83	2.82	0.16	1.85	7.4
gene51	6.54	0.28	5.86	1.22	7.37	5.94	7.34	5.93	2.21	4.37	6.38	4.5	1.78	8.63	9.75	7.84	1.39	5.36	2.21	4.93	8.44	2.53	6.24	9.56	5.85	4.25	3.03	6.18	0.5	7.54	4.05	0.49
gene52	0.14	7.64	1.92	3.93	9.86	1.14	6.22	4.12	8.85	5.77	7.07	8.35	2.73	5.03	8.23	3.42	7.17	7.12	8.15	3.04	7.47	3.75	6.57	4.73	4.1	4.1	9.21	9.86	7.3	2.53	6.76	4.74
gene53	8.26	0.43	4.32	9.44	4.73	2.0	6.52	4.65	3.17	1.78	8.95	0.95	2.52	6.58	3.73	8.39	6.38	5.83	1.89	3.25	9.67	1.72	5.39	6.53	3.81	0.83	3.55	7.17	3.51	2.07	0.39	4.04
gene54	3.73	2.35	5.32	9.67	4.57	6.73	9.39	1.12	1.62	8.48	1.5	5.04	0.68	7.73	3.98	0.54	0.42	6.75	8.11	7.4	5.66	4.9	8.44	8.73	1.44	8.27	6.42	1.12	4.22	0.87	0.17	9.56
gene55	4.81	7.82	0.97	3.76	8.56	7.85	1.5	6.76	9.98	7.2	9.14	5.96	2.04	9.18	1.57	7.54	7.87	0.45	9.12	9.9	1.98	0.94	2.69	0.07	3.94	5.07	8.58	0.57	7.04	9.88	8.63	9.68
gene56	6.96	6.38	5.97	5.47	1.69	2.4	9.21	2.21	9.91	9.6	2.01	0.97	7.2	5.06	2.51	7.38	0.04	1.59	8.53	0.38	3.18	4.01	1.39	5.54	7.91	7.79	4.4	2.63	7.75	6.52	4.48	3.08
gene57	0.62	8.03	3.08	5.31	1.12	4.51	9.02	9.18	8.83	3.16	4.51	4.07	3.98	8.07	9.93	5.92	8.77	6.19	6.98	5.71	1.8	5.6	0.72	9.12	7.45	6.93	4.42	5.67	8.33	1.56	8.29	1.96
gene58	9.67	7.73	0.39	4.44	7.26	2.87	3.84	1.87	3.81	0.2	7.21	7.09	3.06	7.44	8.07	9.12	5.18	4.82	8.31	5.76	6.39	5.73	1.18	6.69	6.73	5.01	4.95	5.65	6.5	1.4	7.64	8.24
gene59	7.39	2.1	1.66	0.46	5.1	2.67	1.24	9.99	8.86	8.98	8.35	5.05	7.56	7.12	7.71	0.06	4.91	0.07	0.22	5.06	8.98	8.47	4.68	0.53	8.63	9.08	5.62	9.56	1.53	2.3	2.65	1.44
gene60	1.32	9.89	9.67	6.86	2.24	1.02	9.67	6.62	5.96	1.21	8.83	1.19	4.46	9.98	4.48	5.28	9.28	8.51	5.53	2.43	6.45	1.56	4.99	7.15	7.96	7.87	7.84	7.7	0.89	5.52	8.65	6.47
gene61	6.37	9.46	5.59	6.84	6.52	8.38	4.46	6.35	1.3	8.14	3.67	3.19	6.59	1.71	5.1	6.91	7.92	4.81	7.99	6.88	4.75	3.44	0.6	9.99	9.27	0.7	2.96	8.07	0.03	4.29	0.86	7.71
gene62	5.29	6.2	9.62	5.07	4.75	5.89	8.17	7.7	7.87	6.23	0.18	7.27	7.89	9.54	4.6	3.44	8.65	6.3	2.22	8.37	6.04	8.35	0.63	9.23	7.76	0.7	7.41	3.76	9.5	7.2	9.88	3.55
gene63	5.67	9.11	7.45	5.36	0.54	5.81	1.35	4.3	6.02	8.14	2.78	7.74	1.34	0.3	4.9	3.43	1.4	9.15	4.54	0.0	2.44	3.1	8.71	7.69	4.04	8.42	6.96	9.67	5.65	2.04	3.43	6.06
gene64	2.09	1.53	1.97	8.1	7.89	3.46	5.89	9.48	2.11	6.06	2.56	4.57	3.42	0.46	1.5	4.92	2.21	3.88	8.17	5.04	3.45	5.39	3.7	3.67	5.51	1.81	9.07	9.63	8.63	2.08	9.67	2.41
gene65	9.54	4.89	5.35	3.09	7.63	4.4	6.71	6.41	2.9	3.54	5.88	9.67	4.45	3.71	9.25	8.08	5.23	0.63	7.16	0.75	3.95	4.01	8.52	9.6	1.57	8.54	7.31	5.4	6.72	7.06	0.8	4.89
gene66	3.66	5.48	1.97	7.22	7.03	7.24	3.35	8.29	0.29	6.98	9.66	2.48	2.9	5.31	6.73	7.97	0.93	3.35	0.75	5.88	1.36	9.26	8.74	6.72	1.49	5.28	5.84	0.71	8.32	8.73	5.99	6.83
gene67	2.79	7.54	0.6	7.64	7.2	0.11	6.59	9.64	4.41	2.05	1.99	6.36	2.18	8.65	1.11	6.79	7.89	4.18	9.89	0.48	0.67	2.37	9.39	2.98	6.64	4.22	0.55	0.8	2.26	6.06	3.16	3.86
gene68	2.87	0.17	3.14	1.06	8.65	1.21	7.99	4.76	3.07	0.7	3.19	8.37	7.66	2.01	3.77	6.12	7.06	0.4	5.22	2.25	9.09	3.37	6.43	0.76	3.17	8.59	0.67	2.03	3.81	7.75	1.75	0.54
gene69	6.95	1.27	3.81	6.02	7.96	3.91	5.76	4.64	5.99	6.47	7.97	6.84	6.99	6.72	3.27	4.35	2.88	9.22	1.84	6.61	0.57	8.55	3.52	4.38	8.41	1.18	8.34	3.19	5.7	8.39	0.48	4.61
gene70	3.76	6.16	2.42	2.84	4.22	2.72	6.32	9.72	7.67	4.63	0.56	1.3	0.22	5.53	3.44	6.67	1.47	5.49	9.12	0.42	1.22	8.38	9.29	5.76	8.0	9.15	1.36	8.98	3.73	4.11	3.76	5.4
gene71	9.76	3.14	2.45	7.82	1.64	6.17	8.32	6.56	5.01	2.04	5.53	7.54	2.15	9.24	3.35	3.81	3.16	1.49	6.91	5.2	1.51	5.76	7.97	1.22	6.14	5.49	3.85	3.25	4.24	8.31	1.47	0.28
gene72	3.89	8.19	3.56	3.55	8.66	4.68	5.21	6.6	7.49	4.03	6.53	1.52	2.13	0.98	1.01	2.38	6.55	8.32	7.32	2.35	9.94	9.55	4.71	7.49	7.32	5.2	8.86	7.06	8.28	3.67	4.2	7.06
gene73	9.61	2.38	2.15	4.84	7.0	3.44	9.25	4.5	1.14	5.34	2.87	7.01	1.32	5.29	1.05	6.99	3.48	6.79	3.69	7.86	0.45	3.68	9.06	8.48	7.98	2.95	2.16	8.76	7.42	7.41	4.37	8.22
gene74	6.12	7.66	7.23	1.43	8.82	1.47	8.25	6.47	5.89	5.0	2.36	3.3	2.53	7.94	8.28	5.45	6.91	4.41	7.83	7.09	5.03	5.69	10.0	6.51	4.84	9.23	2.84	7.18	5.94	0.37	7.56	1.6
gene75	0.59	0.29	4.76	0.13	9.97	9.64	4.91	7.69	6.02	5.34	0.89	0.41	8.46	3.18	3.1	2.46	4.52	3.72	8.33	10.0	8.71	6.79	6.28	3.15	0.69	7.28	3.14	1.99	9.52	8.93	8.45	1.32
gene76	8.54	8.92	2.87	0.09	0.4	2.68	6.11	9.43	4.04	2.98	3.22	4.58	4.01	9.62	6.62	5.42	7.81	1.46	7.26	0.92	3.0	5.12	4.5	0.88	2.57	9.96	4.48	3.52	0.97	9.67	6.75	0.01
gene77	7.93	2.34	6.75	5.35	2.87	2.63	0.58	2.76	6.15	2.15	0.99	1.58	6.18	0.44	6.51	1.27	6.82	2.42	3.32	6.73	2.02	1.01	0.44	9.54	3.44	5.89	0.39	5.93	0.07	1.13	5.82	6.24
gene78	4.23	2.88	2.45	1.13	2.95	1.0	9.16	9.37	2.95	5.6	3.31	0.37	9.08	1.66	2.43	1.08	5.85	8.47	3.13	6.09	8.69	2.14	7.75	2.47	4.76	6.27	1.64	2.66	8.58	1.21	7.48	6.39
gene79	6.75	6.46	5.37	0.82	4.03	3.36	4.02	3.71	3.56	6.23	8.01	9.05	7.28	0.2	3.94	8.39	0.63	0.42	7.85	1.51	4.26	6.93	8.37	5.8	1.5	5.56	9.13	1.16	1.29	8.77	8.56	5.83
gene80	6.25	5.82	7.8	6.75	8.01	6.05	6.23	3.05	1.81	0.14	8.77	7.15	2.15	5.0	5.55	0.24	3.48	2.82	5.17	4.14	7.86	0.03	8.94	4.11	7.49	1.47	4.61	9.14	3.46	0.04	0.79	3.2
gene81	6.32	6.32	0.69	4.8	1.93	0.25	4.46	9.51	8.21	3.16	7.38	7.99	2.42	9.05	4.84	2.43	1.44	9.69	8.3	4.87	9.88	2.71	2.32	7.68	5.46	5.73	7.98	3.39	0.74	5.09	0.43	8.53
gene82	1.17	2.11	9.46	4.52	8.1	9.64	1.57	5.84	2.43	9.13	4.35	3.91	4.08	6.1	7.99	2.88	9.27	5.41	4.19	8.39	9.77	7.36	6.1	8.0	2.54	8.89	4.78	1.22	7.96	3.55	2.5	2.45
gene83	2.17	5.15	9.36	7.75	1.86	4.98	9.93	6.29	7.13	5.71	8.87	9.1	6.54	6.03	6.81	4.37	6.97	2.72	9.67	9.24	7.46	1.49	7.62	0.74	0.41	4.36	9.69	1.57	6.87	6.74	5.02	4.67
gene84	2.83	2.06	1.24	1.93	5.89	8.45	6.8	1.21	1.07	4.23	9.55	4.81	9.64	3.83	3.12	8.69	4.42	7.85	7.07	0.22	3.8	4.09	2.92	0.44	5.4	2.57	7.17	7.46	7.75	8.47	7.77	9.73
gene85	1.07	6.84	4.72	7.0	4.18	2.69	8.54	7.16	0.09	3.12	7.28	2.54	6.06	2.16	9.08	3.94	6.98	6.64	9.36	4.6	5.45	1.38	6.9	3.86	0.54	9.5	3.62	5.22	6.91	9.06	7.98	0.2
gene86	9.95	1.36	2.21	5.94	9.83	1.24	0.45	5.24	5.44	2.09	0.02	3.96	1.28	3.38	2.86	2.2	8.19	6.46	6.5	4.45	7.11	2.93	2.62	2.14	6.33	6.49	4.1	8.82	1.01	9.51	2.12	2.78
gene87	0.69	6.52	9.14	8.19	5.81	5.12	5.91	7.89	6.24	5.39	5.69	9.82	4.65	6.25	5.42	4.05	2.28	9.16	9.68	2.6	9.73	6.57	5.59	1.59	5.88	0.84	9.13	9.16	3.31	1.91	9.01	5.33
gene88	8.25	7.96	7.04	9.99	0.8	2.8	1.34	9.59	0.24	9.97	0.07	3.0	8.48	5.13	8.84	0.66	9.67	9.27	5.24	6.46	6.95	0.85	8.66	2.39	3.93	5.9	7.64	7.76	3.16	0.92	7.82	1.05
gene89	4.0	4.56	0.57	7.49	5.74	9.2	5.17	0.64	4.12	7.22	3.19	5.02	2.51	4.5	2.61	6.59	9.26	4.92	8.01	6.23	6.89	5.52	0.3	8.34	3.47	4.74	8.46	5.49	5.16	7.17	0.32	2.9
gene90	9.18	8.98	7.91	9.19	1.95	2.5	6.0	2.29	0.25	4.33	3.34	2.09	9.56	1.75	1.56	4.01	4.4	6.54	2.51	5.16	1.45	0.34	9.39	7.5	3.2	9.94	0.84	2.3	6.41	8.75	5.01	7.63
gene91	5.28	6.91	8.16	8.67	0.24	2.92	7.23	4.46	4.89	0.8	6.02	8.62	6.64	6.43	9.04	7.03	2.17	9.52	4.61	2.96	3.33	3.49	8.8	6.77	4.12	9.7	4.46	0.83	8.51	5.64	1.92	5.55
gene92	1.87	0.19	2.88	0.96	2.32	8.15	2.41	1.52	3.59	2.61	2.22	3.85	1.7	7.81	3.74	2.67	8.05	0.67	7.49	3.35	1.6	0.26	8.22	3.7	6.25	4.02	6.24	0.75	4.51	0.83	0.49	9.99
gene93	1.39	9.83	6.81	2.09	5.65	6.37	9.05	6.25	9.48	0.15	1.73	6.62	8.43	9.73	6.49	2.94	4.15	5.73	3.44	3.9	8.69	0.68	9.22	4.01	2.13	1.29	3.41	5.56	3.82	1.28	5.66	3.96
gene94	1.55	8.15	3.33	3.16	4.5	4.35	4.72	5.95	8.64	6.11	2.39	8.06	3.01	1.85	4.73	4.1	5.58	3.37	5.23	8.44	5.62	7.87	4.45	6.88	5.08	4.31	3.51	0.55	4.35	5.78	3.28	6.95
gene95	1.59	0.19	5.13	0.86	3.69	3.89	4.48	1.69	8.15	6.06	1.62	7.69	5.24	6.2	7.68	1.24	7.76	8.92	6.34	7.52	4.49	9.76	0.43	9.37	2.52	8.23	2.9	1.43	2.67	2.89	1.86	5.82
gene96	8.96	8.66	9.55	0.3	6.08	9.82	1.78	8.9	9.84	4.36	8.44	4.93	8.23	8.69	0.96	3.77	1.76	5.41	0.68	0.16	0.66	2.41	3.42	6.88	9.86	3.06	6.49	1.17	3.35	0.64	5.14	1.03
gene97	1.29	5.52	1.63	6.15	1.97	1.0	5.25	6.76	4.28	4.36	0.91	3.38	4.79	3.33	4.49	3.2	6.92	0.69	8.09	9.42	6.16	6.89	8.61	2.93	3.11	6.42	0.79	0.05	7.54	0.87	3.5	7.62
gene98	4.51	8.27	1.82	7.32	1.96	3.91	4.28	7.76	7.79	3.84	4.31	6.43	4.11	9.41	7.42	3.02	5.64	2.32	3.5	4.88	7.44	3.58	1.41	5.53	1.82	3.56	1.84	2.62	0.94	3.28	4.84	4.5
gene99	8.09	1.8	6.7	1.28	6.24	6.34	6.16	6.98	4.57	2.7	2.12	8.05	6.31	9.14	3.91	5.23	0.06	6.15	5.08	2.38	6.1	4.25	9.3	7.94	5.22	4.94	7.03	1.06	7.23	4.55	7.37	2.03
