gene_name	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32
gene39	1.43	1.16	1.86	2.69	9.83	7.46	9.12	9.81	0.11	2.76	9.11	1.61	8.76	1.61	7.25	9.39	4.27	9.66	3.98	6.94	0.65	4.84	1.5	8.63	4.04	7.35	1.54	4.06	1.74	5.04	2.02	1.14
gene40	8.02	0.39	9.65	1.28	3.61	5.24	1.46	2.37	0.82	3.1	2.16	5.29	7.4	9.83	2.54	4.75	1.03	3.78	8.23	8.57	0.16	5.11	9.6	8.32	1.35	6.83	3.26	1.74	0.49	2.95	0.86	5.54
gene41	6.59	4.01	9.82	5.63	2.18	3.54	0.11	3.34	4.85	5.86	6.69	0.35	5.28	3.05	9.17	2.33	7.02	5.57	1.45	5.74	7.18	6.42	1.05	6.46	0.14	8.41	4.86	9.18	0.06	9.34	9.9	5.2
gene42	0.18	7.22	8.79	9.24	2.81	7.69	3.53	3.3	1.29	3.23	6.05	2.65	1.88	2.87	8.83	5.87	4.82	3.6	6.45	0.79	2.43	4.73	2.65	8.9	8.64	3.13	8.81	4.02	2.14	2.72	0.41	6.12
gene43	5.21	9.33	3.52	3.55	8.57	1.91	3.8	1.22	7.63	5.74	2.46	4.35	7.7	7.1	0.15	7.26	6.21	0.35	2.91	3.32	8.37	3.41	1.26	2.57	6.83	9.72	1.37	1.81	2.78	2.96	2.66	0.06
gene44	4.23	6.53	7.82	3.05	0.21	1.08	6.84	0.84	10.0	3.98	8.41	4.63	6.18	9.79	8.75	0.62	8.4	9.71	7.06	0.96	0.9	6.03	7.19	5.91	0.24	4.72	4.26	3.33	6.44	3.07	9.56	0.81
gene45	9.6	2.5	9.99	9.46	5.63	4.34	6.99	6.73	0.78	8.11	6.62	6.83	5.52	7.97	1.27	3.08	1.68	1.19	7.79	2.09	2.27	1.86	5.9	2.37	1.46	8.76	8.64	0.69	5.8	6.29	6.27	1.28
gene46	5.81	2.23	4.08	5.35	1.47	6.63	9.69	9.25	4.69	0.24	3.28	8.81	6.08	4.84	9.43	0.78	1.73	2.14	0.26	0.43	3.88	5.58	1.73	1.38	3.04	4.54	7.36	4.59	1.39	1.06	1.61	9.71
gene47	3.89	1.69	9.73	6.52	2.62	7.89	1.09	6.64	1.62	8.74	9.89	8.12	3.48	9.87	7.08	3.84	3.73	4.33	8.81	9.41	0.05	8.65	2.17	9.71	3.15	8.45	3.39	8.75	6.06	0.44	9.12	7.5
gene48	5.54	0.77	5.57	8.71	9.13	8.42	5.44	9.13	4.83	3.29	3.17	1.04	4.08	7.89	3.25	4.66	7.09	9.64	6.4	5.08	0.77	7.33	9.57	0.22	5.58	8.01	8.03	0.3	7.2	9.91	5.4	9.13
gene49	6.53	9.82	4.99	7.27	5.14	0.63	9.69	3.32	1.02	6.41	3.23	6.11	2.63	4.68	8.65	5.84	5.35	1.99	6.47	2.78	8.53	9.27	6.39	2.92	1.68	3.96	7.77	3.51	0.64	1.95	8.99	9.25
gene50	1.62	7.39	4.11	9.21	2.55	8.62	4.15	6.4	1.36	2.2	7.31	3.21	0.91	3.81	2.6	5.56	0.37	7.1	8.21	4.52	4.49	5.71	1.2	2.3	7.07	9.32	9.45	1.12	0.48	2.37	3.44	9.73
gene51	3.17	7.1	5.87	6.23	7.77	2.02	5.67	0.99	4.92	9.79	1.46	7.64	8.23	5.02	4.68	2.57	7.01	5.25	0.98	2.15	0.2	8.86	2.0	0.92	9.22	2.02	5.75	3.92	9.5	9.72	0.82	1.36
gene52	9.26	8.08	3.91	7.58	9.82	3.93	5.02	0.07	9.09	4.75	5.32	4.82	4.61	2.6	5.46	1.37	7.49	6.74	6.29	4.12	1.22	4.85	5.16	9.86	2.85	6.5	6.54	2.34	9.66	3.19	2.38	1.63
gene53	2.41	7.59	2.22	7.26	1.02	8.52	9.93	2.32	1.71	7.58	9.82	8.79	1.31	4.31	2.59	7.37	3.01	6.24	5.89	7.35	8.91	7.27	6.7	7.81	5.83	1.34	7.84	2.81	0.73	5.06	1.21	9.2
gene54	5.1	4.58	1.94	7.97	7.25	5.05	8.64	6.41	6.1	0.19	5.04	4.78	7.33	4.45	3.92	6.44	6.6	1.65	9.04	5.05	7.79	2.26	8.96	9.45	5.54	6.73	2.84	9.11	7.26	6.31	6.78	2.34
gene55	7.82	5.02	6.64	0.12	6.08	4.73	1.71	7.78	2.79	7.5	4.66	5.79	3.59	9.84	4.85	4.31	5.25	8.66	9.03	7.18	9.17	2.1	0.67	0.11	0.92	0.38	2.93	2.05	3.27	0.85	9.89	8.12
gene56	3.78	9.17	6.36	3.43	3.18	7.3	2.04	6.82	8.54	4.02	4.4	5.32	1.41	7.32	5.95	5.31	7.99	6.98	3.13	7.5	6.64	5.87	9.87	5.12	5.11	6.36	4.04	6.44	6.15	4.5	3.46	9.56
gene57	0.81	1.77	7.52	7.95	7.16	1.24	3.69	3.37	1.86	2.51	9.85	9.39	9.29	2.57	8.5	1.85	5.06	5.04	6.58	2.39	7.7	8.95	6.11	0.9	7.38	6.09	8.5	4.9	5.89	7.04	7.19	4.85
gene58	0.84	0.25	9.42	3.87	4.77	7.77	4.82	0.13	9.62	4.11	3.95	7.52	7.92	8.51	8.44	8.48	0.99	8.14	2.01	9.89	4.9	0.49	6.81	4.34	8.63	2.03	8.81	7.57	4.2	9.58	5.01	4.72
gene59	0.83	7.39	1.97	0.63	5.59	0.2	7.12	4.59	5.41	5.74	9.87	1.38	2.22	3.93	9.99	9.03	0.08	9.35	2.18	5.34	3.13	3.46	0.68	6.12	4.58	3.38	4.86	2.39	4.14	8.26	0.46	0.48
gene60	7.73	9.23	0.45	0.73	8.75	8.08	4.63	5.02	4.28	3.06	1.83	8.35	9.67	3.71	1.05	7.74	7.37	2.52	5.68	6.21	2.67	5.3	4.21	6.14	4.67	6.52	1.03	5.33	1.89	8.08	5.78	6.18
gene61	4.72	10.0	1.62	8.44	3.13	9.69	5.99	0.46	1.56	8.78	2.13	4.79	7.95	9.74	3.57	0.46	0.29	9.1	5.49	7.57	3.88	0.58	7.5	2.27	5.19	8.4	1.53	0.69	4.92	8.59	9.45	8.5
gene62	5.07	9.78	0.91	8.9	7.64	5.45	3.78	1.45	4.89	2.88	9.6	7.28	0.74	9.6	4.43	3.97	3.23	0.25	0.85	5.91	3.2	7.4	8.0	2.14	7.18	4.71	1.35	2.77	1.27	5.27	6.3	2.99
gene63	5.79	2.18	2.72	8.3	6.41	8.55	9.73	2.17	2.05	6.35	3.71	7.14	3.59	8.85	0.59	9.12	8.39	1.82	8.5	7.22	7.1	7.14	9.06	2.23	3.47	9.97	7.58	2.59	2.11	3.5	9.72	0.17
gene64	3.37	5.21	1.61	7.87	3.55	6.55	9.6	0.19	7.46	7.73	8.85	6.47	3.46	9.26	0.94	1.61	1.09	5.02	4.95	5.65	6.32	7.56	7.99	7.02	4.54	9.67	6.62	5.23	3.38	2.73	7.04	8.29
gene65	9.77	4.87	7.72	4.2	0.0	5.4	6.41	0.7	3.26	2.13	5.7	8.36	9.38	4.57	7.64	0.13	3.28	9.68	1.17	5.41	5.73	9.82	4.0	0.9	9.12	2.79	0.2	9.25	7.17	5.84	3.11	6.04
gene66	7.97	5.3	4.67	1.0	1.55	6.26	6.6	8.58	3.23	7.45	2.66	9.4	5.07	5.74	4.64	6.0	3.71	0.26	3.83	6.74	5.38	0.07	9.68	3.55	8.69	8.72	3.43	3.28	4.36	3.39	6.33	8.0
gene67	9.71	3.81	8.43	3.03	2.27	4.44	4.71	0.1	8.73	6.04	0.61	4.54	3.64	5.03	9.65	1.93	4.35	3.13	4.18	8.52	7.68	3.42	1.73	2.3	5.98	4.63	7.29	1.04	0.62	6.29	1.17	0.5
gene68	3.68	2.12	2.21	9.45	8.91	2.82	0.67	9.47	6.72	2.81	4.14	5.14	0.62	3.7	4.18	5.37	9.24	4.12	0.59	7.54	7.82	1.23	1.63	1.65	4.98	7.87	5.39	8.61	9.53	5.13	7.78	3.96
gene69	6.99	3.35	6.14	6.95	8.25	7.66	0.11	2.09	5.87	3.4	4.34	1.92	6.52	1.87	0.46	2.47	5.07	4.25	2.38	0.0	0.12	8.38	2.99	1.11	5.71	8.15	0.69	1.35	5.83	7.15	8.57	7.82
gene70	7.14	4.7	2.42	3.25	0.16	6.16	8.48	3.66	4.88	4.17	2.72	0.28	5.6	8.91	2.25	3.86	1.51	4.87	6.3	7.68	3.03	8.95	2.21	7.97	4.87	7.83	3.68	6.55	5.25	2.03	7.69	1.99
gene71	5.18	0.4	3.09	0.42	6.99	3.71	1.83	1.83	7.53	4.66	3.46	5.59	4.6	2.62	6.73	6.47	4.33	3.17	1.39	2.19	3.91	5.51	4.93	1.77	3.23	9.94	3.38	7.44	2.73	4.96	8.44	9.41
gene72	9.16	3.41	9.23	0.17	5.21	6.78	0.95	8.38	8.45	2.98	5.4	9.85	2.24	9.05	7.87	1.01	6.04	3.01	7.14	2.63	4.97	9.16	2.03	5.5	1.55	1.8	5.25	8.99	6.17	8.77	6.0	0.8
gene73	7.22	8.81	2.43	8.31	1.64	8.32	1.89	9.15	5.1	5.67	5.15	1.83	3.67	0.69	9.19	5.41	8.43	0.61	9.87	1.27	2.86	3.37	4.23	9.46	2.66	5.38	5.21	7.88	8.87	5.86	1.85	0.11
gene74	1.39	4.78	8.3	7.09	1.7	1.54	5.75	5.93	4.82	2.0	2.29	9.71	7.1	3.53	6.89	4.31	3.36	0.52	5.15	1.99	4.52	4.98	4.97	3.08	3.38	2.48	0.84	8.8	6.75	6.23	5.94	4.17
gene75	1.44	0.84	9.06	6.09	7.88	3.54	9.44	2.05	0.64	2.59	0.1	0.27	2.83	4.65	8.95	2.17	5.57	1.38	2.51	3.33	1.81	8.18	2.8	1.57	4.83	6.04	2.37	3.17	9.99	7.8	4.37	6.18
gene76	9.11	8.56	9.82	2.56	2.82	4.04	5.07	4.85	2.83	9.66	8.1	6.83	1.09	0.84	0.98	5.56	0.18	7.02	2.1	9.42	8.05	2.26	1.83	5.77	5.39	6.16	9.65	7.68	4.05	0.79	2.53	7.09
gene77	8.04	0.97	6.76	5.09	7.1	6.21	6.7	0.54	0.61	0.35	0.63	7.43	5.65	4.14	9.68	8.66	0.43	6.41	5.83	2.36	4.58	6.84	1.37	8.27	5.39	2.84	8.56	4.83	9.23	4.65	1.3	9.46
gene78	2.29	3.92	8.57	9.31	0.75	6.02	8.1	2.23	4.25	9.06	3.48	3.04	4.42	5.48	4.26	2.26	0.25	7.26	1.68	2.2	5.96	4.07	8.73	8.21	2.08	0.12	6.15	3.0	4.73	1.28	4.59	0.77
gene79	3.81	1.24	6.84	2.53	1.65	2.99	1.85	0.33	0.92	7.82	8.46	2.48	9.3	4.39	3.6	1.08	8.76	9.24	5.52	6.47	0.73	1.52	7.77	6.08	9.89	5.04	4.34	0.48	1.45	7.88	3.7	6.8
gene80	5.89	2.24	9.68	7.81	9.93	1.74	7.47	9.95	5.33	1.19	5.02	0.79	2.16	1.82	7.6	3.87	6.13	6.12	6.72	5.12	5.82	7.14	9.18	0.93	2.29	4.83	6.57	4.45	8.47	6.55	1.38	7.65
gene81	7.63	6.19	5.73	9.71	3.81	3.67	0.5	3.03	1.38	7.25	8.47	3.63	8.3	5.7	2.96	5.36	2.5	3.8	1.72	6.19	4.89	4.75	5.92	7.74	0.94	4.22	5.08	8.13	2.26	6.17	0.21	5.26
gene82	5.32	5.95	2.21	6.76	7.91	8.87	8.17	9.89	6.95	9.4	5.17	5.03	1.2	9.74	2.97	3.63	8.52	0.64	9.42	5.41	5.46	9.82	9.22	3.42	0.48	7.24	6.05	9.14	7.84	3.97	2.64	2.87
gene83	4.45	6.36	0.43	3.46	3.76	2.59	5.38	5.41	8.81	4.26	4.93	5.4	6.36	9.69	6.5	4.92	3.63	4.0	2.01	9.28	1.3	3.3	2.81	2.84	7.67	9.92	9.37	8.1	3.46	6.56	0.06	1.53
gene84	5.92	2.54	7.12	2.59	0.48	5.9	7.77	9.24	2.98	8.64	7.34	7.58	4.47	8.72	6.4	1.59	7.94	0.52	7.7	9.59	1.86	1.84	9.23	5.91	10.0	2.08	4.87	0.64	0.96	1.05	1.82	4.72
gene85	1.8	6.71	9.78	9.93	3.73	4.71	1.19	6.4	4.62	9.38	1.11	0.55	9.98	4.25	4.51	7.86	7.25	5.65	8.56	6.89	9.69	8.9	4.25	2.58	2.72	6.24	3.83	9.21	4.97	7.61	3.19	7.97
gene86	9.55	3.34	4.83	3.68	5.96	7.8	0.74	6.6	9.92	0.39	0.99	1.97	9.67	9.54	2.89	5.45	4.99	4.29	1.21	8.86	0.98	7.46	9.16	5.1	1.5	5.67	2.4	6.45	6.4	1.21	2.56	2.52
gene87	1.93	1.99	2.16	7.44	2.15	0.01	6.11	9.69	0.91	1.55	7.38	2.9	9.73	8.62	9.01	4.66	4.38	7.1	5.47	2.29	5.7	4.08	9.15	0.35	2.49	3.61	6.69	8.19	5.2	2.18	9.61	5.13
gene88	7.88	9.91	0.93	3.94	0.67	1.52	1.22	8.21	5.98	3.32	7.84	8.78	5.12	0.23	3.09	4.27	2.74	8.12	1.64	0.42	4.03	2.71	4.39	9.53	6.78	4.55	2.88	0.45	1.9	2.08	9.37	2.48
gene89	1.84	9.41	4.19	9.88	8.53	7.51	4.7	1.28	1.7	1.77	7.19	4.57	8.44	0.6	8.47	2.32	1.79	8.07	7.96	6.71	0.67	4.96	4.7	9.73	8.84	5.06	1.01	8.81	3.15	4.89	0.3	8.13
gene90	1.44	8.41	6.19	0.28	8.39	8.47	3.72	3.45	2.79	1.97	9.69	8.25	5.48	1.86	6.81	4.51	9.06	5.3	7.1	7.4	8.85	5.01	1.54	6.6	2.4	3.46	4.2	9.55	6.54	7.18	6.43	5.97
gene91	2.76	3.75	1.69	1.75	1.13	5.96	6.03	7.52	4.62	3.57	8.57	7.28	5.54	9.31	3.33	9.82	1.53	6.21	8.91	9.57	3.47	3.46	7.97	9.58	9.11	6.94	4.04	9.43	3.23	2.44	7.73	3.08
gene92	5.41	1.74	3.34	8.29	5.78	0.24	8.07	9.44	1.96	5.33	3.23	8.11	2.79	1.24	1.53	4.22	1.12	8.06	5.99	1.56	0.66	7.4	0.19	6.9	5.78	8.36	9.32	1.02	6.3	4.94	6.76	6.75
gene93	5.25	1.69	2.03	9.49	9.12	2.4	9.79	5.37	7.43	5.24	6.82	5.45	6.91	2.35	7.12	4.22	0.02	4.79	9.07	4.15	9.36	2.76	1.23	7.12	7.03	7.76	2.89	8.55	5.9	0.51	4.53	4.25
gene94	2.43	5.18	9.29	0.65	2.16	4.25	3.38	3.15	5.11	5.3	1.58	2.02	5.74	4.06	2.73	5.6	2.49	2.74	5.5	9.95	5.88	7.62	4.75	2.93	0.49	5.97	4.26	8.51	7.05	9.31	1.78	2.53
gene95	4.39	0.19	7.28	1.7	8.6	1.65	5.42	3.96	7.6	1.59	1.67	7.24	0.12	0.43	1.74	1.94	9.42	9.69	0.46	2.53	7.28	5.95	7.81	9.14	5.48	3.41	5.08	5.46	2.5	4.95	2.08	6.61
gene96	9.62	4.74	8.31	2.58	6.72	1.08	1.59	9.03	0.42	10.0	3.02	8.12	3.79	4.98	4.28	0.46	7.08	2.38	2.59	4.65	4.92	6.98	3.73	1.17	8.83	1.04	9.71	7.39	5.92	0.64	0.02	7.76
gene97	7.93	3.27	1.55	7.33	3.02	3.16	7.29	2.0	0.53	3.71	2.53	3.12	6.74	4.34	6.26	9.56	9.61	1.59	0.36	3.8	4.93	9.46	2.68	6.05	2.07	4.69	4.58	2.93	0.82	0.63	1.98	3.98
gene98	7.72	6.86	9.7	6.61	1.89	3.35	4.13	8.07	1.24	5.75	3.8	9.71	5.63	8.32	5.71	1.68	0.71	3.49	8.44	2.57	6.49	9.87	5.93	4.86	9.58	0.29	1.42	9.9	2.53	9.89	2.32	0.91
gene99	3.53	7.49	6.95	2.71	7.85	7.98	1.82	5.7	5.56	9.91	8.61	2.07	0.46	6.95	7.63	7.68	6.02	4.62	0.39	7.01	7.95	7.37	1.88	5.55	8.65	4.56	4.41	6.11	4.06	5.3	8.62	8.73
